name,ring,quadrant,isNew,description
"💻📱 Toggl ▶️","trial","生产力","FALSE","时间记录 · 在功能和易用性正在赶超，美观度上非常好"
"💻 搜狗输入法","trial","生产力","FALSE","自动 English & 语音输入 · 在📱上用的却是讯飞输入法，无法统一"
"💻📱 Instapaper","trial","生产力","FALSE","最好的阅读体验 · 没有🏷标签功能 · Diigo 稍后读，在Instapaper 归档"
"💻📱 有道背单词","trial","生产力","TRUE","直接能背有道词典的生词本"
"💻📱 Feedly","trial","生产力","FALSE","RSS 服务，配合 Reeder 使用 · 最近需要翻墙了，恼火"
"💻📱 Diigo","trial","生产力","FALSE","最好的网页高亮工具 · 大纲功能转换为问题树 #99"
"💻📱 EverNote/印象笔记","assess","生产力","FALSE","资料备查 #78 #140 · 只是存储着我以前的一切记忆"
"💻📱 Bear 熊掌记 🐻 ⏸","assess","生产力","FALSE","好用的笔记软件，只是需要订阅"
"💻📱 Dash","assess","生产力","FALSE","查文档必备 (with Alfred) + 代码片段"
"💻📱 Notion 🆕","assess","生产力","TRUE","All-in-one Workspace · 来自未来的协作工具"
"💻📱 Letterspace ⏹","hold","生产力","FALSE","基于 iCloud 文件目录的 Markdown Editor，但是不维护了，😭"
"💻📱 Noizio ⏸","hold","生产力","FALSE","白噪声（全局快捷键）"
"📱 米家（平台） 🆕","adopt","生活方式","TRUE","已经支持 Siri 捷径 · 米家 31 个智能设备，后续补充具体内容"
"📱⌚️ AutoSleep 🆕","adopt","生活方式","TRUE","最好的睡眠自动化追踪"
"💻📱 Google Photos","adopt","生活方式","FALSE","最佳照片备份方案 · 支持电脑端上传"
"📱 VSCO","adopt","生活方式","FALSE","依然是最好滤镜调色 App"
"📱 Gyroscope 🆕","adopt","生活方式","TRUE","最好的量化自我App · 心情评估&记录 · 颜值担当 · 集成的数据平台之多无可匹敌"
"💻 MacBook Pro 15‘","adopt","生活方式","FALSE","日常 · 个人成长基础设施"
"📱 iPhone 6s Plus","adopt","生活方式","FALSE","日常 · 取决于是否能够支撑 6月份 WDDC iOS 13新系统"
"💻 Irvue","adopt","生活方式","FALSE","自动切换壁纸（from Unsplash），与此同时积累Banner图片"
"⌨️ HHKB Pro Type-s","adopt","生活方式","FALSE","女盆友送的 · 直接最高配，彻底了却烧键盘的烦恼和心"
"💻📱 MoneyWiz 🆕","adopt","生活方式","TRUE","最好用的记账软件 · 新更新的UI很好看 · 严肃记账软件带来的是严肃对待记账这件事情"
"💻📱 Adobe Lightroom","trial","生活方式","FALSE","摄影相关 #77 · Adobe Photoshop 系列"
"📱 VUE","trial","生活方式","FALSE","视频编辑 & 社区 · VLog 相关，想入的坑一直没开启"
"🔉 小米电视音响","trial","生活方式","FALSE","回家之后蓝牙连接📱（不过好像并没有能够自动连接"
"🖥 LG 27UD69-W 4K 显示器","trial","生活方式","FALSE","4K 显示器连接MBP，终于不再有颗粒感 · 期望搬完办公室我来搬显示器"
"📱 MOO 音乐 🆕","trial","生活方式","TRUE","没有评论安静听歌 · 仿抖音，听歌进入封面颜值时代"
"📱 Snapseed","assess","生活方式","TRUE","最好的照片调整工具 · 但是现在iOS原生相册调整功能也够用"
"🎧 小米 AirDots","assess","生活方式","TRUE","尝鲜，音质实在是不敢恭维 · 还是攒钱买 AirPods 2 代吧"
"🎧 iPod Shuffle 🆕","assess","生活方式","TRUE","想要回归最原始的听歌方式，就只听喜欢的、下载好的歌"
"⌨️ Filco Minila","assess","生活方式","FALSE","无线机械键盘，可以连投影仪玩儿 · 买来并没有怎么用到🤣"
"💻📱 网易云音乐 🚫","hold","生活方式","TRUE","NeteaseMusic 开始搞短视频和直播，简直浪费时间！"
